city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
nova independencia,11.4,8.6,24.35,13.98,0.52,2.51
nova luzitania,15.36,8.75,10.49,4.38,0.37,0.34
novais,13.03,18.07,10.48,1.68,0.57,0.21
ocaucu,18.91,8.36,12.29,8.65,4.26,0.86
oleo,14.92,6.91,27.46,9.04,2.37,2.13
onda verde,13.09,5.16,10.31,7.42,0.56,0.97
oscar bressane,11.98,4.88,11.98,9.76,1.04,0.0
paranapua,17.52,11.99,14.82,7.12,0.81,0.37
parisi,6.79,2.24,21.6,11.94,1.85,2.24
paulistania,16.11,11.29,40.56,20.97,6.67,2.42
pedranopolis,14.36,2.4,33.33,20.96,5.13,0.6
pedrinhas paulista,6.92,6.44,9.69,9.9,0.69,0.99
piquerobi,20,11.02,25.17,22.86,6.21,3.27
planalto,18.84,9.2,19.94,0.24,4.99,0.0
platina,13.21,9.93,27.99,7.88,1.89,0.68
pongai,8.99,4.95,22.85,1.98,2.25,0.0
pontalinda,22.09,13.11,15.64,10.11,1.84,0.55
pontes gestal,12,8.09,18.22,0.0,0.89,0.0
populina,17.23,9.09,16.71,6.29,2.09,0.7
pracinha,18.31,5.0,2.11,3.33,0,0.0
pratania,12.39,7.92,17.02,7.65,3.15,0.26
presidente alves,13.5,6.19,17,10.75,3.75,1.63
quadra,9.13,11.56,38.7,3.74,4.35,2.04
queiroz,22.43,7.63,22.05,4.96,4.56,0.38
redencao da serra,20.5,9.61,47.84,14.41,10.93,3.3
ribeira,23.02,11.71,37.91,10.03,10.93,2.68
ribeirao corrente,15.64,7.77,24.31,9.77,3.38,0.0
ribeirao do sul,15.55,4.38,23.95,10.94,3.36,0.31
ribeirao dos indios,14.88,9.86,19.07,10.56,1.86,2.11
rifaina,8.13,9.64,6.71,1.2,1.41,1.2
rubiacea,10.62,8.3,15.04,2.18,1.77,0.0
rubineia,10.05,2.92,17.35,5.85,1.83,0.0
sagres,11.97,10.12,25.48,1.79,3.86,0.0
salmourao,20.55,9.84,5.77,6.74,1.62,1.3
sandovalina,9.87,8.58,19.75,18.05,0.76,0.59
santa clara d'oeste,15.58,4.84,25.63,20.97,1.51,0.0
santa cruz da conceicao,13.23,6.9,34.77,4.14,7.69,0.0
santa cruz da esperanca,8.7,7.83,28.5,10.84,2.42,3.01
santa mercedes,15.87,9.36,17.34,8.09,2.21,0.43
santa rita d'oeste,12.57,7.5,42.08,26.67,4.92,0.83
santa salete,5.88,1.25,54.12,12.5,2.35,1.25
santana da ponte pensa,6.3,8.14,44.09,23.26,1.57,3.49
santo expedito,9.95,8.13,4.52,4.31,0.45,0.0
santopolis do aguapei,15.34,7.61,3.7,1.84,0,0.26
sao francisco,14.11,7.22,19.09,7.73,2.07,0.0
sao joao das duas pontes,17.5,12.07,18.21,18.39,5,1.15
sao joao de iracema,12.23,10.94,24.46,3.13,2.16,0.0
sao joao do pau d'alho,11.96,6.09,19.57,15.65,3.26,0.0
sao jose do barreiro,18.65,14.41,34.83,15.85,10.56,4.9
sarutaia,15.07,12.94,14.11,0.97,3.83,0.0
sebastianopolis do sul,4.55,6.0,1.14,3.0,0,0.0
suzanapolis,14.29,6.74,17.86,30.34,2.78,2.25
taquaral,14.89,4.39,6.11,3.9,0.76,0.49
tejupa,28.97,21.7,36.01,25.73,10.41,5.82
timburi,18.47,6.15,37.35,10.26,7.23,0.0
torre de pedra,15.23,3.51,9.14,2.92,0.51,0.0
trabiju,21.29,15.75,7.74,6.3,0.65,2.36
turiuba,9.56,5.26,8.09,10.53,0.74,0.75
turmalina,8.62,8.99,27.59,13.48,1.72,0.0
ubirajara,13.42,6.06,21.92,18.94,2.91,1.52
uniao paulista,12.07,15.49,33.62,16.9,6.03,1.41
uru,15.45,1.18,25.45,7.06,2.73,0.0
vitoria brasil,21.17,8.8,24.09,10.4,6.57,0.8
zacarias,7.36,2.26,23.93,12.43,0.61,0.0
de 5.001 a 10.000 ,15.11,8.65,14.21,6.57,2.91,0.73
aguas da prata,9.5,4.95,3.97,2.18,0.69,0.0
aguas de santa barbara,16.34,5.42,28.01,10.85,7.54,0.47
americo de campos,10.94,9.17,5.79,11.11,0.21,0.56
anhembi,13.32,5.92,10.04,1.72,1.16,0.0
aramina,11.19,5.38,8.86,2.55,1.86,0.0
arandu,19.23,6.96,6.27,3.16,2.14,0.0
arealva,7.38,7.84,22.31,5.78,2.31,0.93
ariranha,10.13,8.64,6.37,2.34,1.01,0.29
balsamo,8.53,5.84,4.85,6.97,0.67,1.32
