city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
cristal do sul,10.95,7.98,81.02,14.55,10.58,0.94
cruzaltense,-,4.35,-,16.52,-,0.0
david canabarro,6.64,1.68,59.73,2.36,4.42,0.0
derrubadas,17.97,9.22,68.49,11.06,13.54,3.69
dezesseis de novembro,17.7,10.26,16.57,1.28,3.37,1.28
dilermando de aguiar,26.2,9.3,48.24,9.77,13.74,0.47
dois irmaos das missoes,27.27,12.43,59.27,18.38,20.73,2.16
dois lajeados,8.57,4.22,21.43,9.04,2.86,0.6
dom pedro de alcantara,5.24,4.62,9.95,0.0,1.57,0.0
dona francisca,16.37,6.88,21.23,8.26,4.35,0.92
doutor ricardo,8.47,7.69,66.67,13.19,6.21,3.3
engenho velho,36.68,29.32,10.92,3.01,3.93,0.0
entre rios do sul,17.97,11.16,25.51,3.72,6.09,1.86
erebango,18.15,9.62,33.33,11.54,5.06,2.4
ernestina,4.83,1.41,49.72,7.51,2.27,0.0
esmeralda,16.96,6.76,44.38,8.11,7.69,0.45
esperanca do sul,15.41,10.82,87.22,23.71,15.41,2.06
estrela velha,19.76,6.95,79.03,12.74,17.93,0.77
eugenio de castro,8.81,7.36,31.53,15.95,3.39,0.61
fagundes varela,10.49,2.68,32.72,8.05,3.7,1.34
faxinalzinho,17.09,9.15,54.91,4.27,10.91,0.0
fazenda vilanova,13.45,6.06,42.41,0.3,7.24,0.0
floriano peixoto,5.21,2.41,87.2,22.89,5.21,2.41
forquetinha,-,5.21,-,9.38,-,0.0
fortaleza dos valos,6.4,3.04,28.06,12.84,2.64,0.0
garruchos,14.99,15.68,66.93,13.56,10.85,2.12
gentil,12.8,4.63,68.8,6.48,11.2,0.0
gramado dos loureiros,34.01,16.37,78.79,2.34,31.99,1.17
gramado xavier,19.4,8.42,78.89,64.03,16.2,6.63
guabiju,5.26,5.41,61.65,0.0,3.76,0.0
harmonia,3.72,1.56,5.88,0.0,1.55,0.0
herveiras,18.56,9.13,65.37,44.11,14.96,4.56
humaita,9.23,3.31,41.79,7.62,3.08,0.99
ibarama,21.86,8.63,75.54,29.38,19.7,2.16
ibiaca,8.94,5.42,44.24,10.42,4.47,0.42
ibirapuita,20.89,8.19,59.64,6.83,13.21,1.37
ilopolis,15.67,5.88,44.03,9.24,7.96,0.84
