city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ivoti,90.69,66.11,8.99,33.78,0.32,0.1
jaguari,16.24,27.78,39.91,38.28,43.85,33.94
julio de castilhos,35.04,44.98,49.49,47.17,15.47,7.85
mostardas,30.81,23.74,56.79,71.9,12.4,4.36
nao-me-toque,22.95,42.92,67.64,55.79,9.41,1.29
nonoai,2.98,21.23,68.67,69.88,28.34,8.89
nova hartz,4.3,4.23,94.51,95.72,1.19,0.05
nova petropolis,52.77,69.05,39.51,29.89,7.72,1.06
palmares do sul,37.37,45.11,55.85,53.58,6.78,1.31
pinheiro machado,67.02,71.39,11.52,12.72,21.47,15.89
piratini,40.38,44.49,16.26,31.99,43.35,23.52
planalto,11.24,25.34,51.84,53.34,36.92,21.31
porto xavier,22.64,44.33,57.16,52.2,20.19,3.46
redentora,0.46,3.77,50.7,73.92,48.84,22.31
restinga seca,52.71,35.55,36.95,59.31,10.34,5.14
roca sales,40.7,73.93,51.05,23.82,8.25,2.25
rolante,48.03,42.71,44.46,53.05,7.51,4.24
ronda alta,13.78,35.27,44,62.07,42.22,2.66
salto do jacui,11.52,36.47,77.52,55.62,10.96,7.92
sananduva,49.05,60.19,19.65,31.63,31.29,8.18
santo antonio das missoes,3.92,7.8,63.6,75.2,32.48,16.99
santo augusto,13.01,7.93,72.94,86.22,14.05,5.84
santo cristo,9.38,28.89,72.04,66.39,18.58,4.72
sao francisco de assis,4.14,19.29,61.71,57.57,34.15,23.14
sao pedro do sul,34.44,45.76,39.67,33.46,25.89,20.78
seberi,2.18,10.34,45.77,82.96,52.05,6.7
serafina correa,10.21,56.6,75.24,41.49,14.55,1.92
sinimbu,15.67,13.75,35.02,58.28,49.31,27.97
sobradinho,42.15,68.84,29.44,27.11,28.41,4.05
tapejara,37.12,63.48,43.84,35.51,19.04,1.01
tapera,45.14,43.1,43.31,55.09,11.56,1.81
tapes,73.64,75.48,17.41,20.32,8.95,4.2
tenente portela,1.73,12.14,62.82,71.99,35.45,15.87
tres cachoeiras,12.87,23.41,67.42,74.52,19.71,2.07
vale do sol,12.58,30.63,49.47,57.26,37.95,12.11
xangri-la,42.08,12.43,57.67,87.39,0.26,0.18
de 20.001 a 50.000 ,51.19,63.0,36.6,32.51,12.21,4.5
butia,65.17,66.41,32.28,32.6,2.55,0.99
cacapava do sul,45.58,50.39,28.74,33.79,25.68,15.82
candelaria,39.74,46.61,28.57,44.57,31.69,8.81
canela,77.39,84.96,20.75,14.62,1.86,0.42
capao da canoa,80.81,59.22,18.55,40.64,0.64,0.14
capao do leao,66.46,65.93,29.95,32.88,3.59,1.19
carlos barbosa,70.62,74.67,17.24,23.7,12.13,1.64
charqueadas,87.44,89.94,10.05,9.14,2.5,0.91
dois irmaos,93.14,92.49,6.66,7.48,0.2,0.03
dom pedrito,77.95,81.34,13.4,14.2,8.64,4.46
eldorado do sul,62.74,76.56,33.7,22.31,3.57,1.14
encantado,78.95,82.13,16.07,17.14,4.98,0.72
encruzilhada do sul,41.93,58.69,22.78,16.41,35.29,24.91
estancia velha,60.77,61.79,38.39,38.0,0.84,0.21
estrela,73.95,81.66,24.12,18.0,1.92,0.33
flores da cunha,60.77,68.88,26.24,28.42,12.99,2.7
frederico westphalen,53.1,63.7,28.05,31.44,18.84,4.86
garibaldi,69.59,78.86,20.71,20.11,9.7,1.02
gramado,73.91,80.54,22.83,19.17,3.27,0.29
guapore,74.84,88.01,19.27,8.98,5.89,3.01
igrejinha,68.95,64.21,30.25,35.61,0.79,0.19
itaqui,63.68,61.28,24.5,31.47,11.82,7.26
jaguarao,83.1,60.79,9.98,35.43,6.93,3.78
lagoa vermelha,65.18,76.97,15.9,17.96,18.92,5.06
marau,56.27,74.29,28.54,24.96,15.19,0.76
nova prata,73.41,73.05,19.71,25.02,6.88,1.93
nova santa rita,12.41,27.1,78.06,71.36,9.53,1.54
osorio,65.26,53.74,32.82,45.81,1.92,0.45
palmeira das missoes,17.13,30.52,61.94,61.69,20.93,7.8
panambi,16.94,57.19,70.95,39.0,12.11,3.81
portao,20.21,27.64,78.62,72.12,1.17,0.24
quarai,74.11,82.77,18.43,10.94,7.46,6.29
rio pardo,51.64,61.09,26.8,33.27,21.56,5.64
rosario do sul,19.34,59.53,68.19,30.28,12.47,10.19
santa vitoria do palmar,61.26,72.8,29.7,23.06,9.04,4.13
santiago,43,71.08,43.8,24.82,13.2,4.1
santo antonio da patrulha,41.02,42.75,45.38,52.93,13.6,4.32
sao francisco de paula,50.89,48.94,25.34,41.96,23.77,9.09
sao jeronimo,61.72,64.6,22.09,18.88,16.19,16.52
sao jose do norte,33.01,45.5,41.89,47.3,25.1,7.2
sao lourenco do sul,23.12,49.65,43.8,24.52,33.09,25.82
sao luiz gonzaga,29.03,56.24,58.01,39.22,12.96,4.54
sao marcos,73.32,78.78,16.29,19.04,10.39,2.18
sao sebastiao do cai,58.11,63.44,39.34,36.18,2.54,0.38
sao sepe,60.04,67.84,16.02,21.78,23.94,10.39
sarandi,65.46,72.0,29.17,24.68,5.37,3.32
soledade,59.6,68.1,21.4,22.71,18.99,9.19
taquari,58.73,66.08,31.85,32.69,9.42,1.23
teutonia,18.73,79.04,76.61,20.71,4.66,0.25
torres,42.49,57.3,53.66,42.38,3.85,0.32
tramandai,58.95,52.47,40.57,47.36,0.48,0.17
tres coroas,63.88,60.21,34.27,38.94,1.85,0.85
tres de maio,3.82,14.06,73.86,80.39,22.32,5.55
tres passos,2.87,38.3,77.44,58.98,19.69,2.72
triunfo,36.94,36.84,44.22,61.19,18.84,1.97
tupancireta,23.37,41.98,56.18,44.02,20.45,14
vera cruz,59,68.6,35.43,28.63,5.57,2.76
