city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
taiobeiras,26.84,17.68,6.04,1.66,28.03,14.64,70.99,57.23
tres marias,10.81,7.51,2.43,0.94,9.7,5.42,44.88,30.99
tupaciguara,13.39,9.47,3.84,1.3,10.98,7.03,34.44,24.92
varzea da palma,16.12,12.0,5.15,1.7,16.11,10.45,53.06,42.35
visconde do rio branco,13.88,8.74,4.18,1.3,12.59,6.97,36.13,25.7
de 50.001 a 100.000 ,9.8,6.71,2.44,1.15,8.62,5.05,31.8,22.48
alfenas,8.53,5.77,2.17,0.97,7.11,4.21,29.13,18.84
araxa,7.08,4.26,1.29,0.81,5.38,2.74,27.26,16.14
campo belo,11.82,8.69,2.05,1.01,9.71,5.68,35.8,26.69
caratinga,13.87,9.55,3.7,1.52,12.45,7.3,40.09,29.67
cataguases,8.02,5.72,1.82,1.05,6.33,3.79,24.55,17.53
curvelo,11.57,7.83,3.49,1.38,10.07,6.02,33.63,24.14
esmeraldas,11.89,8.6,3.22,1.2,11.91,7.26,36.2,29.35
formiga,9.2,6.15,1.7,0.96,7.55,3.75,29.23,21.08
frutal,9.07,6.53,2.28,1.8,7.27,5.08,29.51,19.17
itajuba,5.84,3.92,1.78,0.79,4.59,2.85,18.82,12.58
itauna,7.05,4.19,1.26,0.5,5.77,2.64,26.02,16.57
ituiutaba,11.34,8.46,2.5,1.32,8.9,6.1,33.76,24.36
janauba,19.76,14.23,5.35,2.09,20.54,12.36,62.21,48.94
januaria,22.05,17.35,5.82,2.94,22.66,14.97,56.9,50.21
joao monlevade,5.86,4.13,1.5,0.75,4.65,2.68,21.44,14.25
lagoa santa,7.86,4.7,2.62,0.94,6.72,3.43,27.21,16.99
lavras,6,4.13,1.56,0.71,4.55,2.81,21.12,14.54
leopoldina,10.44,7.09,2.62,0.97,8.73,5.16,29.02,19.73
manhuacu,13.1,8.58,3.53,1.43,12.47,7.01,39.19,28.5
mariana,10.25,6.58,3.33,1.21,9.94,5.51,32.45,23.55
nova lima,5.27,2.87,1.44,0.58,4.64,2.01,18.55,10.71
nova serrana,7.79,4.82,2.12,0.95,7.97,4.61,35.6,26.62
ouro preto,7.83,5.02,1.88,0.94,6.77,3.59,27.16,17.81
para de minas,6.9,3.9,1.78,0.76,5.93,2.72,24.04,14.78
paracatu,12.17,7.57,3.25,1.24,11.75,6.24,42.47,30.81
patrocinio,9.24,6.52,2.97,1.26,8.4,5.38,30.15,20.74
pedro leopoldo,7.59,5.31,2.14,1.07,7.02,3.96,23.87,17.98
pirapora,10.03,6.96,2.74,1.18,9.13,5.31,37.2,26.65
ponte nova,9.99,6.98,2.55,1.33,8.83,5.05,29.11,21.62
sao francisco,22.8,17.38,4.56,2.78,24.6,14.88,65.79,56.14
sao joao del rei,5.99,3.97,1.43,0.72,4.59,2.68,19.36,12.69
sao sebastiao do paraiso,8.91,6.43,2.4,1.05,7.69,5.09,25.78,18.36
timoteo,6.59,4.46,1.35,0.67,5.38,2.72,27.77,18.98
tres coracoes,10.13,6.97,2.28,1.21,9.8,5.42,30.21,23.19
tres pontas,11.91,8.74,2.35,1.06,10.72,6.38,39.64,30.31
unai,12.77,8.84,3,1.3,12.28,6.98,45.33,33.0
vicosa,8.36,5.61,2.05,0.86,7.34,4.18,30.42,20.05
de 100.001 a 500.000 ,7.78,5.54,1.87,0.99,6.86,3.88,28.27,21.51
araguari,6.87,4.88,2.07,0.93,5.33,3.53,23.34,15.04
