city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
romaria,65.33,74.85,9.67,9.85,25,15.3
rosario da limeira,36.77,46.55,15.37,18.8,47.86,34.65
santa barbara do monte verde,43.34,54.77,17.16,25.11,39.5,20.13
santa barbara do tugurio,25.24,37.69,17.48,25.78,57.28,36.53
santa cruz de salinas,3.98,27.34,42.8,28.67,53.22,43.98
santa cruz do escalvado,22.67,36.88,23.09,37.96,54.24,25.16
santa efigenia de minas,16.93,35.6,33.58,31.44,49.5,32.96
santa fe de minas,-,0.61,50.05,57.38,49.95,42.01
santa rita de ibitipoca,40.62,57.7,23.75,14.59,35.63,27.71
santa rita de jacutinga,56.85,70.69,19.25,14.96,23.9,14.34
santa rosa da serra,43.21,53.05,40.84,33.43,15.95,13.52
santana de cataguases,77.91,79.04,1.23,6.85,20.86,14.11
santana do deserto,64.12,62.41,20.1,29.79,15.77,7.79
santana do garambeu,53.51,69.5,18.8,6.68,27.69,23.82
santana do jacare,89.68,92.48,6.36,4.32,3.96,3.19
santana do riacho,2.28,29.45,60.52,51.13,37.2,19.43
santana dos montes,32.58,44.63,22.96,21.31,44.46,34.06
santo antonio do aventureiro,31.37,13.62,42.75,65.37,25.88,21.01
santo antonio do grama,61.79,73.99,15,14.3,23.22,11.71
santo antonio do itambe,12.95,22.88,18.74,32.65,68.3,44.47
santo antonio do rio abaixo,14.81,27.63,30.52,31.58,54.67,40.79
santo hipolito,0.11,1.16,65.49,79.63,34.4,19.21
sao bento abade,81.17,90.49,10.46,2.59,8.37,6.93
sao bras do suacui,12.74,46.15,71.59,47.33,15.67,6.53
sao felix de minas,12.05,44.73,32.77,21.08,55.18,34.19
sao geraldo da piedade,12.69,36.0,55.91,35.92,31.41,28.09
sao geraldo do baixio,15.57,58.95,44.67,14.5,39.76,26.55
sao goncalo do rio preto,2.19,4.76,69.36,63.11,28.45,32.13
sao joao da lagoa,0.17,0.14,44.23,62.62,55.59,37.24
sao joao da mata,55.9,63.46,8.85,16.5,35.26,20.04
sao joao do pacui,-,1.31,67.3,71.72,32.7,26.97
sao jose da safira,15.03,50.73,59.08,31.64,25.89,17.63
sao jose da varginha,1.82,29.73,61.12,63.07,37.06,7.2
sao jose do alegre,62.49,71.21,10.3,10.49,27.21,18.3
sao jose do divino,47.29,58.85,27.66,31.42,25.05,9.72
sao jose do mantimento,55.64,59.26,15.1,27.54,29.25,13.2
sao sebastiao da bela vista,57.49,58.74,24.33,34.78,18.18,6.48
sao sebastiao da vargem alegre,33.66,47.1,14,12.98,52.33,39.91
sao sebastiao do rio preto,8.27,10.87,37.47,51.46,54.26,37.67
sao sebastiao do rio verde,50.62,61.14,1.76,18.48,47.62,20.38
sem-peixe,0.35,41.08,45.56,13.87,54.09,45.05
senador cortes,57.3,67.04,10.4,14.9,32.3,18.07
senador jose bento,29.61,36.09,9.13,38.31,61.26,25.6
senador modestino goncalves,20.02,38.09,12.94,17.3,67.04,44.61
senhora do porto,11.07,31.27,24.94,18.97,63.98,49.76
seritinga,61.49,77.43,18.38,9.2,20.13,13.37
serra azul de minas,9.51,29.34,38.37,23.08,52.11,47.58
serra da saudade,43.35,52.94,17.87,28.72,38.78,18.34
serranopolis de minas,13.98,0.39,46.02,50.7,40,48.91
serranos,43.2,65.04,37.68,18.27,19.12,16.69
silveirania,43.35,56.39,38.17,21.2,18.48,22.42
simao pereira,64.63,78.01,13.58,12.72,21.79,9.27
tabuleiro,51.2,64.72,27.13,17.64,21.67,17.64
taparuba,34.41,55.63,22.94,15.55,42.65,28.82
tapira,47.48,56.99,13.21,13.59,39.31,29.43
tapirai,33.83,52.41,29.67,20.18,36.5,27.41
taquaracu de minas,21.44,34.68,17.95,31.58,60.61,33.73
tocos do moji,28.02,30.32,16.91,61.2,55.07,8.47
turvolandia,43.01,56.35,8.75,22.43,48.23,21.22
umburatiba,40.86,66.59,37.14,15.51,22,17.9
uniao de minas,37.18,55.48,16.49,19.78,46.33,24.74
uruana de minas,0.69,9.3,64.86,60.56,34.45,30.14
vargem bonita,45.93,65.66,31.53,21.18,22.54,13.16
vargem grande do rio pardo,0.33,0.76,65.42,57.08,34.25,42.16
verissimo,46.57,57.67,14.27,14.26,39.16,28.07
