city,total,regular,military_and_gov,irregular,entrepreneur,employers
conde,566.22,731.26,1755.73,339.62,326.58,7212.86
condeuba,449.4,700.99,819.85,287.65,420.34,1019.04
contendas do sincora,450.88,810.48,882.12,313.06,371.53,1378.53
coracao de maria,550.12,706.63,1048.42,396.77,405.73,906.12
cordeiros,493.58,692.5,651.22,386.15,442.25,4333.33
coribe,518.72,600.8,947.98,382.6,472.8,1103.34
coronel joao sa,437.88,813.17,786.95,327.85,413.57,1867.82
correntina,722.95,956.76,937.13,566.29,626.36,1588.28
cotegipe,531,895.25,896.08,369.69,366.41,1679.89
cravolandia,456.29,729.96,775.13,313.45,336.15,3454.14
crisopolis,346.09,724.84,906.68,309.98,273.3,1595.73
cristopolis,514.78,593.08,929.9,368.92,508.42,1649.53
cruz das almas,874.74,894.85,2579.33,437.68,856.4,2828.78
curaca,477.96,562.07,1228.6,386.88,390.62,300
dario meira,509.13,734.55,814.54,410.54,486.19,1196.07
dias d'avila,942.79,1025.31,2670.53,522.63,804.53,2538.51
dom basilio,381.34,587.71,768.82,333.78,302.16,1110.14
dom macedo costa,598.66,617.68,1521.43,353.5,923.2,-
elisio medrado,482,684.21,687.26,393.36,300.95,20000
encruzilhada,429.3,648.95,753.58,316.29,448.26,1888.29
entre rios,762.28,794.19,1839.67,460.77,824.77,2323.35
erico cardoso,554.94,685.21,1055.78,379.13,604.86,1071.03
esplanada,626.48,766.9,787.39,380.73,570.1,6335.78
euclides da cunha,521.21,775.11,1006.69,343.61,423.55,3562.18
eunapolis,1053.47,948.71,2221.38,588.28,1165.89,4583.22
fatima,372.99,668.2,722.77,260.97,402.14,344.02
feira da mata,483.2,637.42,650.03,348.93,483.85,1802.65
feira de santana,1043.34,963.95,2025.6,567.4,1033.34,5743.39
filadelfia,572.88,687.53,1295.93,397.15,428.19,11780.88
firmino alves,561.8,605.83,1125.56,383.49,568.27,3635.96
floresta azul,525.94,721.35,1165.14,442.45,402.86,1558
formosa do rio preto,668.03,842.84,891.53,482.79,668.19,2686.47
gandu,697.82,853.69,2087.81,447.45,711.93,2297.49
gaviao,404.99,644.35,540.18,343.12,352.96,510
gentio do ouro,530.44,662.19,982.01,414.64,380.99,-
gloria,605.59,844.47,729.71,411.11,462.82,4000
gongogi,519.99,597.92,615.51,442.7,550.4,1020
governador mangabeira,628.64,710.89,1552.02,318.74,400.33,5962.3
guajeru,578.04,720.81,769.89,396.15,506.62,510
guanambi,849.92,804.15,1877.6,499.61,899.08,3196.08
guaratinga,520.74,590.67,763.02,469.44,476.36,2447.8
