city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
dionisio cerqueira,12.77,10.15,2.75,1.71,11.96,7.69,38.88,30.05
faxinal dos guedes,10.31,6.97,1.99,0.93,8.99,5.25,41.44,25.98
garopaba,13.99,8.25,2.2,0.98,12.75,5.87,42.95,28.57
garuva,7.87,5.55,2.01,0.87,7.74,4.68,25,19.76
governador celso ramos,10.03,7.75,1.99,1.39,9.16,5.65,32.88,27.27
gravatal,8.84,5.39,1.44,1.09,6.62,3.64,32,17.46
guabiruba,4.66,2.77,1.39,0.72,4.09,2.08,15.08,11.54
guaraciaba,7.07,6.59,1.49,1.37,6.13,4.91,20.11,18.26
ibirama,5.65,3.72,1.3,1,5.54,2.71,13.78,11.77
ilhota,7.09,5.28,1.53,0.98,6.31,4.24,23.33,18.68
imarui,17,12.08,3.57,1.88,14.15,8.75,42.25,28.56
irineopolis,8.49,7.05,3.4,1.55,7.8,6.14,22.81,19.6
itapiranga,4.31,3.27,1.65,0.49,3.72,3.02,12.99,9.1
