city,total,adequada,semi_adequada,inadequada
salmourao,1547.33902762,1211.36543241,331.45763731,4.5159579
saltinho,2162.9785073,1625.63250743,537.34599987,-
salto,31855.14442323,24578.59037449,7251.41719079,25.13685795
salto de pirapora,11495.00000001,7201.04327468,4266.04560144,27.91112389
salto grande,2876.18579721,916.83084721,1922.64463145,36.71031855
sandovalina,1111.72565701,623.97799068,444.65556868,43.09209765
santa adelia,4603.40615419,3732.92368112,837.25349502,33.22897805
santa albertina,2008,1579.5447488,419.8523451,8.6029061
santa barbara d'oeste,54898.17167724,45327.19298568,9547.47150626,23.5071853
santa branca,4241.54229497,2333.46492005,1865.64053177,42.43684315
santa clara d'oeste,692.00000002,490.40566599,194.60330387,6.99103016
santa cruz da conceicao,1301.00000001,870.35387837,426.88915665,3.75696499
santa cruz da esperanca,596.99999999,331.0598248,257.76922723,8.17094796
santa cruz das palmeiras,9106.99999998,7073.49340417,1998.53362273,34.97297308
santa cruz do rio pardo,13980.81424576,11180.13911748,2719.1663299,81.50879838
santa ernestina,1655,1261.26891957,385.59418006,8.13690037
santa fe do sul,9991,8771.45177465,1219.54822535,-
santa gertrudes,6649.73383904,5238.75996789,1410.97387115,-
santa isabel,15262.04541601,7080.37149975,8086.24845384,95.42546242
santa lucia,2410.99999999,1782.86780506,611.7481899,16.38400503
santa maria da serra,1681.99999999,1210.37756467,471.62243532,-
santa mercedes,936.00000002,578.51084875,353.62875949,3.86039178
santa rita do passa quatro,8769,7239.07983022,1501.71742966,28.20274012
santa rita d'oeste,911,565.13247741,329.61769974,16.24982285
santa rosa de viterbo,7402.00000001,6457.9691067,944.03089331,-
santa salete,505,287.37600441,212.64387772,4.98011787
santana da ponte pensa,595,425.54469385,165.23044471,4.22486144
santana de parnaiba,31618.81449412,16825.62746533,14755.23692365,37.95010514
santo anastacio,6697,5470.98958963,1199.88186041,26.12854996
santo andre,216254.88495929,172872.58404567,43368.92578686,13.37512676
santo antonio da alegria,2062.33745317,1360.03900544,697.06358346,5.23486427
santo antonio de posse,6297.99999999,3936.95777505,2347.07161888,13.97060606
santo antonio do aracangua,2425.79653535,1642.90743831,768.43527438,14.45382266
santo antonio do jardim,1820,948.07876826,813.12090227,58.80032947
santo antonio do pinhal,1992.61690028,712.95570397,1272.72441838,6.93677793
santo expedito,966.00000002,630.78851881,328.39944707,6.81203414
santopolis do aguapei,1346.99999998,1113.25475864,233.74524134,-
santos,144587.10539435,122123.95622332,22449.13649223,14.0126788
sao bento do sapucai,3336.99150123,1680.31552921,1637.64075802,19.035214
sao bernardo do campo,239283.94307688,179564.41747978,59719.5255971,-
sao caetano do sul,50488.5311924,43794.39981656,6694.13137584,-
sao carlos,71613.31099517,60078.10058136,11489.03612607,46.17428774
sao francisco,964,741.07138924,216.04922249,6.87938827
sao joao da boa vista,27584.13589585,23044.69552772,4491.3190374,48.12133073
sao joao das duas pontes,851.99999999,675.02709394,174.31460781,2.65829824
sao joao de iracema,590.99999999,425.04399399,163.53814126,2.41786474
sao joao do pau d'alho,728.99999999,571.63440143,151.46774991,5.89784865
sao joaquim da barra,14421.79691906,12061.70856889,2340.2967786,19.79157157
sao jose da bela vista,2506,1705.71212001,764.50775122,35.78012877
sao jose do barreiro,1303.98251848,692.58500455,570.09896248,41.29855145
sao jose do rio pardo,15878.8647549,12488.00966886,3291.37413767,99.48094837
sao jose do rio preto,137127.09516963,108558.45520529,28536.27618213,32.36378221
sao jose dos campos,189450.14707798,149490.4221604,39874.43501167,85.28990591
sao lourenco da serra,4291.00520001,1742.15853744,2532.45200058,16.39466199
sao luis do paraitinga,3464.99999999,1531.90530346,1894.37832299,38.71637354
sao manuel,11506.99999999,9414.43190006,2092.56809993,-
sao miguel arcanjo,9472.01414157,4832.94673663,4480.44047563,158.62692931
sao paulo,3573509.44927521,2653462.65796234,918996.59809791,1050.19321496
