city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
matinhos,74.56,85.26,24.66,14.59,0.78,0.14
medianeira,26.48,23.52,64.78,72.14,8.74,4.34
nova esperanca,38.9,52.21,47.65,39.05,13.45,8.73
ortigueira,9.65,22.4,34.65,44.25,55.7,33.35
paicandu,19.89,63.67,77.45,35.22,2.66,1.11
palmas,33.88,63.58,56.21,33.34,9.91,3.08
palmeira,51.99,59.83,27.17,27.56,20.84,12.61
palotina,16.92,39.16,66.63,56.04,16.46,4.8
pinhao,19.72,22.65,42,45.88,38.28,31.46
pirai do sul,45.97,51.61,25.92,26.62,28.11,21.77
pitanga,14.91,33.92,41.31,34.39,43.78,31.69
pontal do parana,74.64,67.42,24.84,31.89,0.52,0.69
prudentopolis,23.47,39.68,31.33,30.88,45.19,29.44
quedas do iguacu,37.18,42.67,44.36,30.49,18.46,26.85
reserva,13.79,33.05,44.14,42.47,42.07,24.48
rio branco do sul,30.79,44.7,48.04,43.34,21.18,11.96
rio negro,65.03,71.92,26.27,23.73,8.69,4.35
santa helena,31.97,40.36,62.38,58.71,5.65,0.93
santa terezinha de itaipu,4.42,34,85.15,61.36,10.42,4.64
santo antonio da platina,64.93,76.08,20.9,15.92,14.17,7.99
sao mateus do sul,39.03,46.76,23.78,32.18,37.19,21.06
sao miguel do iguacu,32.92,34.14,54.49,55.62,12.59,10.24
ubirata,1.54,24.32,79.05,63.2,19.41,12.47
de 50.001 a 100.000 ,46.32,66.41,46.84,29.6,6.83,3.99
cambe,46.57,76.69,49.26,21.13,4.17,2.18
campo mourao,45.43,74.52,48.99,22.98,5.58,2.5
castro,45.42,60.04,30.81,22.25,23.77,17.71
cianorte,17.58,52.2,71.44,41.61,10.98,6.19
fazenda rio grande,54.04,75.58,43.41,24.09,2.55,0.34
francisco beltrao,42.75,64.25,43.68,30.36,13.57,5.39
irati,53.87,70.32,28.21,16.52,17.92,13.16
paranavai,55.92,77.25,38.87,20.03,5.21,2.72
pato branco,74.12,87.66,19.62,9.84,6.26,2.5
piraquara,52.5,80.03,45.26,19.73,2.24,0.24
rolandia,23.53,49.45,67.01,46.56,9.45,3.99
sarandi,10.96,8.71,87.61,90.48,1.42,0.81
telemaco borba,59.4,72.76,39.92,27.07,0.68,0.17
uniao da vitoria,76.97,79.06,18.75,17.25,4.28,3.7
de 100.001 a 500.000 ,63.41,71.79,33.82,26.41,2.77,1.8
almirante tamandare,37.44,62.92,60.43,36.47,2.13,0.61
apucarana,26.39,42.05,67.87,54.89,5.74,3.06
arapongas,40.48,57.72,54.63,40.08,4.89,2.2
araucaria,71.92,79.21,26.12,20.43,1.96,0.36
campo largo,50.44,62.39,41.22,32.12,8.34,5.5
cascavel,41.31,56.3,52.97,40.15,5.72,3.55
colombo,73.9,79.72,25.4,20.05,0.71,0.23
foz do iguacu,52,73.49,46.69,26.09,1.31,0.42
guarapuava,45.82,64.24,46.62,30.15,7.56,5.6
maringa,64.24,78.79,34.47,20.49,1.29,0.73
paranagua,74.14,75.28,24.6,24.07,1.26,0.64
pinhais,89.87,93.58,10.02,6.41,0.11,0.01
ponta grossa,68,80.82,30.06,18.32,1.93,0.86
sao jose dos pinhais,73.7,82.51,23.71,16.73,2.59,0.76
toledo,36.14,58.29,52.8,37.14,11.06,4.57
umuarama,42.12,76.71,51.33,19.8,6.54,3.49
mais de 500.000 ,91.94,93.48,7.93,6.17,0.13,0.35
curitiba,91.94,96.02,7.93,3.97,0.13,0.01
londrina,75.34,84.6,21.61,13.86,3.05,1.54
